wavelength,flux,flux_error
6103.822861,94301.625,309.058136
6103.866008,95248.234375,310.754028
6103.909155,95342.171875,310.936707
6103.952303,94846.210938,310.104584
6103.99545,96467.890625,312.616425
6104.038597,95986.765625,311.846649
6104.081744,96654.664062,312.867676
6104.124892,96274.25,312.406677
6104.168039,95565.765625,311.296753
6104.211186,96050.757812,311.963562
6104.254333,96257.820312,312.470734
6104.297481,97114.46875,313.937561
6104.340628,97145.15625,313.872253
6104.383775,96493.398438,312.69397
6104.426922,96505.59375,312.737061
6104.47007,96649.921875,313.056427
6104.513217,96289.515625,312.507538
6104.556364,96782.539062,313.304688
6104.599511,96788.75,313.261688
6104.642659,96660.390625,313.206726
6104.685806,96718.84375,313.128723
6104.728953,96843.15625,313.180359
6104.772101,96704.59375,312.99881
6104.815248,96846.828125,313.195282
6104.858395,97207.78125,313.9245
6104.901542,96417.296875,312.625031
6104.94469,97124.429688,313.775787
6104.987837,97228.625,313.856415
6105.030984,98384.664062,315.796936
6105.074131,98317.25,315.656403
6105.117279,96950.601562,313.45871
6105.160426,96875.976562,313.37085
6105.203573,95990.773438,312.011902
6105.24672,94226.78125,309.126831
6105.289868,93949.585938,308.585205
6105.333015,94473.320312,309.610413
6105.376162,95157.75,310.725952
6105.419309,96628.125,312.896515
6105.462457,97265.304688,313.992371
6105.505604,97820.601562,314.919373
6105.548751,98733.78125,316.240417
6105.591898,97991.859375,315.225922
6105.635046,98624.664062,316.219696
6105.678193,97851.078125,314.938416
6105.72134,98750.984375,316.479156
6105.764487,98589.554688,316.039001
6105.807635,98418.328125,315.888794
6105.850782,98189.992188,315.5289
6105.893929,98620.445312,316.154083
6105.937077,98165.375,315.445709
6105.980224,98119.382812,315.308807
6106.023371,98952.828125,316.563049
6106.066518,99144.867188,316.898804
6106.109666,99456.664062,317.436127
6106.152813,99547.65625,317.649475
6106.19596,99096.179688,316.939728
6106.239107,99276.382812,317.215179
6106.282255,99702.226562,317.819733
6106.325402,99475.476562,317.410645
6106.368549,99193.15625,317.019501
6106.411696,99457.390625,317.43631
6106.454844,98903.390625,316.654572
6106.497991,98291.953125,315.662445
6106.541138,98434.140625,315.809265
6106.584285,97639.53125,314.651886
6106.627433,97357.445312,314.126007
6106.67058,96134.4375,312.195923
6106.713727,96499.3125,312.774658
6106.756874,95215.25,310.842957
6106.800022,95411.6875,311.033112
6106.843169,96754.664062,313.321991
6106.886316,97519.992188,314.634705
6106.929463,98608.804688,316.105194
6106.972611,98726.84375,316.257172
6107.015758,99626.523438,317.652802
6107.058905,99401.351562,317.29483
6107.102053,99495.96875,317.564819
6107.1452,100187.890625,318.507202
6107.188347,99758.554688,317.982971
6107.231494,100151.054688,318.579956
6107.274642,100069.320312,318.385193
6107.317789,100331.101562,318.841461
6107.360936,100387.09375,319.012512
6107.404083,100375.96875,318.952454
6107.447231,100859.4375,319.728882
6107.490378,100295.414062,318.815277
6107.533525,100373.765625,318.927887
6107.576672,100269.5625,318.897369
6107.61982,100688.507812,319.293091
6107.662967,101642.65625,320.991913
6107.706114,101135.0625,320.093048
6107.749261,100588.632812,319.289276
6107.792409,101101.117188,319.939606
6107.835556,101975.960938,321.347321
6107.878703,100815.1875,319.591919
6107.92185,101340.007812,320.359802
6107.964998,101055.5,319.989716
6108.008145,101037.09375,320.032928
6108.051292,100849.65625,319.723724
6108.094439,98728.429688,316.321442
6108.137587,95860.875,311.778015
